shot_number,prep_duration,shot_duration,release_angle,max_hand_speed,avg_elbow_angle,std_elbow_angle,release_height,motion_smoothness,trial_number,motion_smoothness_seq,movement_coordination,peak_velocity,velocity_consistency
49,0.045454545454545456,0.015151515151515152,0.09090909090909091,0.15151515151515152,0.16098484848484848,0.02083333333333333,0.24242424242424243,0.0,0.09090909090909091,0.005681818181818179,0.030303030303030304,0.08522727272727272,0.06060606060606061
50,0.125,0.015625,0.125,0.09375,0.078125,0.03819444444444445,0.1875,0.0625,0.015625,0.08680555555555555,0.0,0.109375,0.0625
51,0.11764705882352942,0.0,0.08823529411764708,0.13235294117647062,0.11764705882352942,0.04411764705882354,0.2058823529411765,0.05882352941176471,0.014705882352941178,0.10294117647058824,0.04411764705882354,0.04411764705882354,0.029411764705882356
52,0.13432835820895525,0.04477611940298508,0.08955223880597016,0.05970149253731344,0.10447761194029852,0.08955223880597016,0.1492537313432836,0.02985074626865672,0.02985074626865672,0.08955223880597016,0.08955223880597016,0.05970149253731344,0.02985074626865672
53,0.14893617021276595,0.0678191489361702,0.06382978723404255,0.057919621749408984,0.06309101654846336,0.07446808510638298,0.08274231678486998,0.02127659574468085,0.05319148936170213,0.1023936170212766,0.1016548463356974,0.08628841607565012,0.07638888888888888
54,0.052734375,0.119140625,0.134765625,0.078125,0.046875,0.083984375,0.015625,0.03125,0.015625,0.078125,0.125,0.140625,0.078125
55,0.04411764705882353,0.08823529411764706,0.10294117647058823,0.1323529411764706,0.029411764705882353,0.058823529411764705,0.07352941176470588,0.058823529411764705,0.014705882352941176,0.08823529411764706,0.17647058823529413,0.07352941176470588,0.058823529411764705
56,0.06529850746268656,0.11940298507462686,0.11940298507462686,0.07462686567164178,0.0472636815920398,0.05970149253731343,0.04228855721393035,0.1287313432835821,0.04477611940298507,0.014925373134328358,0.13432835820895522,0.1044776119402985,0.04477611940298507
57,0.10254137115839246,0.1012115839243499,0.04920212765957448,0.04506501182033098,0.10342789598108748,0.08229905437352247,0.061613475177304984,0.07210401891252956,0.06575059101654848,0.03191489361702128,0.15721040189125296,0.06382978723404256,0.06382978723404256
58,0.0888888888888889,0.05740740740740741,0.07083333333333335,0.08348765432098768,0.02916666666666667,0.058950617283950624,0.04722222222222223,0.07083333333333335,0.04444444444444445,0.10000000000000002,0.17592592592592596,0.14645061728395065,0.026388888888888892
59,0.07160493827160494,0.03441358024691358,0.10925925925925926,0.09583333333333334,0.04135802469135803,0.08888888888888889,0.1029320987654321,0.02839506172839506,0.02638888888888889,0.09814814814814815,0.16450617283950617,0.08688271604938272,0.05138888888888889
60,0.12305854241338114,0.02628434886499403,0.04301075268817205,0.0685483870967742,0.057347670250896064,0.0919952210274791,0.05182198327359618,0.05928912783751494,0.05376344086021506,0.16248506571087218,0.17921146953405018,0.040173237753882915,0.04301075268817205
61,0.043192918192918185,0.08974358974358973,0.026862026862026857,0.05006105006105004,0.07753357753357752,0.10317460317460315,0.10454822954822952,0.04197191697191697,0.06593406593406592,0.18315018315018314,0.11675824175824173,0.0531135531135531,0.04395604395604395
62,0.07668231611893585,0.02914710485133021,0.01760563380281691,0.032472613458528955,0.21126760563380284,0.034428794992175285,0.08626760563380283,0.050078247261345854,0.08450704225352114,0.13556338028169018,0.14338810641627545,0.028169014084507046,0.07042253521126762
